Year,OffenceDivision,OffenceSubdivision,OffenceSubgroup,IncidentsRecorded,"Rate"
2009,C Drug offences,C30 Drug use and possession,C31 Drug use,743,13.8
2008,C Drug offences,C30 Drug use and possession,C32 Drug possession,"5,786",110.1
2008,C Drug offences,C30 Drug use and possession,C31 Drug use,809,15.4
2017,C Drug offences,C90 Other drug offences,C99 Other drug offences,9,0.1
2016,C Drug offences,C90 Other drug offences,C99 Other drug offences,9,0.1
2015,C Drug offences,C90 Other drug offences,C99 Other drug offences,8,0.1
2014,C Drug offences,C90 Other drug offences,C99 Other drug offences,17,0.3
2013,C Drug offences,C90 Other drug offences,C99 Other drug offences,8,0.1
2012,C Drug offences,C90 Other drug offences,C99 Other drug offences,10,0.2
2011,C Drug offences,C90 Other drug offences,C99 Other drug offences,4,0.1
2010,C Drug offences,C90 Other drug offences,C99 Other drug offences,2,0.0
2009,C Drug offences,C90 Other drug offences,C99 Other drug offences,6,0.1
2008,C Drug offences,C90 Other drug offences,C99 Other drug offences,4,0.1
2017,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,184,3.0
2017,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"6,845",111.2
2017,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"2,088",33.9
2016,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,257,4.2
2016,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"6,676",110.0
2016,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"1,973",32.5
2015,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,214,3.6
2015,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"6,436",108.2
2015,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"1,894",31.9
2014,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,187,3.2
2014,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"5,396",92.4
2014,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"1,695",29.0
2013,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,167,2.9
2013,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"5,037",87.9
2013,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"1,532",26.7
2012,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,171,3.0
2012,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"4,224",75.0
2012,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"1,157",20.5
2011,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,130,2.3
2011,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"3,165",57.2
2011,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"1,037",18.7
2010,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,139,2.5
2010,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"3,146",57.6
2010,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,979,17.9
2009,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,155,2.9
2009,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"3,087",57.5
2009,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"1,028",19.1
2008,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,140,2.7
2008,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"3,120",59.4
2008,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"1,024",19.5
2017,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,229,3.7
2017,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,533,8.7
2017,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,703,11.4
2017,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"3,203",52.0
2017,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"8,290",134.6
2017,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,354,5.7
2016,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,256,4.2
2016,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,499,8.2
2016,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,693,11.4
2016,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"3,010",49.6
2016,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"8,419",138.7
2016,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,281,4.6
2015,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,239,4.0
2015,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,454,7.6
2015,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,886,14.9
2015,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"3,759",63.2
2015,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"9,936",167.1
2015,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,287,4.8
2014,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,326,5.6
2014,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,487,8.3
2014,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,879,15.1
2014,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"4,390",75.2
2014,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"11,023",188.8
2014,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,282,4.8
2013,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,328,5.7
2013,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,425,7.4
2013,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,922,16.1
2013,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"4,395",76.7
2013,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"13,302",232.0
2013,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,320,5.6
2012,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,364,6.5
2012,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,410,7.3
2012,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,911,16.2
2012,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"4,367",77.5
2012,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"12,778",226.9
2012,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,329,5.8
2011,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,284,5.1
2011,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,398,7.2
2011,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,815,14.7
2011,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"4,755",85.9
2011,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"14,232",257.0
2011,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,346,6.2
2010,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,283,5.2
2010,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,474,8.7
2010,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,"1,022",18.7
2010,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"5,985",109.6
2010,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"12,669",232.0
2010,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,364,6.7
2009,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,60,1.1
2009,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,497,9.3
2009,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,781,14.5
2009,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"5,116",95.2
2009,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,747,13.9
2009,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,294,5.5
2008,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,77,1.5
2008,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,519,9.9
2008,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,397,7.6
2008,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"1,953",37.2
2008,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,715,13.6
2008,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,231,4.4
2017,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,113,1.8
2017,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"1,469",23.9
2017,D Public order and security offences,D30 Public nuisance offences,D33 Begging,114,1.9
2017,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,214,3.5
2017,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,34,0.6
2016,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,89,1.5
2016,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"1,419",23.4
2016,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,1,0.0
2016,D Public order and security offences,D30 Public nuisance offences,D33 Begging,68,1.1
2016,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,225,3.7
2016,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,54,0.9
2015,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,81,1.4
2015,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"1,134",19.1
2015,D Public order and security offences,D30 Public nuisance offences,D33 Begging,60,1.0
2015,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,124,2.1
2015,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,23,0.4
2014,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,76,1.3
2014,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"1,018",17.4
2014,D Public order and security offences,D30 Public nuisance offences,D33 Begging,123,2.1
2014,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,112,1.9
2014,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,34,0.6
2013,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,105,1.8
2013,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"1,012",17.7
2013,D Public order and security offences,D30 Public nuisance offences,D33 Begging,188,3.3
2013,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,107,1.9
2013,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,32,0.6
2012,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,106,1.9
2012,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,921,16.4
2012,D Public order and security offences,D30 Public nuisance offences,D33 Begging,193,3.4
2012,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,83,1.5
2012,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,25,0.4
2011,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,100,1.8
2011,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,825,14.9
2011,D Public order and security offences,D30 Public nuisance offences,D33 Begging,142,2.6
2011,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,117,2.1
2011,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,24,0.4
2010,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,73,1.3
2010,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,850,15.6
2010,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,1,0.0
2010,D Public order and security offences,D30 Public nuisance offences,D33 Begging,251,4.6
2010,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,86,1.6
2010,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,24,0.4
2009,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,118,2.2
2009,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,900,16.8
2009,D Public order and security offences,D30 Public nuisance offences,D33 Begging,220,4.1
2009,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,130,2.4
2009,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,17,0.3
2008,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,104,2.0
2008,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,915,17.4
2008,D Public order and security offences,D30 Public nuisance offences,D33 Begging,164,3.1
2008,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,114,2.2
2008,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,15,0.3
2017,D Public order and security offences,D40 Public security offences,D49 Other public security offences,5,0.1
2017,D Public order and security offences,D40 Public security offences,D44 Terrorism offences,4,0.1
2017,D Public order and security offences,D40 Public security offences,D43 Hacking,25,0.4
2017,D Public order and security offences,D40 Public security offences,D41 Immigration offences,1,0.0
2016,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,0.0
2016,D Public order and security offences,D40 Public security offences,D43 Hacking,27,0.4
2016,D Public order and security offences,D40 Public security offences,D41 Immigration offences,1,0.0
2015,D Public order and security offences,D40 Public security offences,D49 Other public security offences,2,0.0
2015,D Public order and security offences,D40 Public security offences,D43 Hacking,28,0.5
2014,D Public order and security offences,D40 Public security offences,D49 Other public security offences,2,0.0
2014,D Public order and security offences,D40 Public security offences,D43 Hacking,28,0.5
2014,D Public order and security offences,D40 Public security offences,D41 Immigration offences,1,0.0
2013,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,0.0
2013,D Public order and security offences,D40 Public security offences,D43 Hacking,31,0.5
2013,D Public order and security offences,D40 Public security offences,D42 Sabotage,1,0.0
2012,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,0.0
2012,D Public order and security offences,D40 Public security offences,D43 Hacking,38,0.7
2011,D Public order and security offences,D40 Public security offences,D49 Other public security offences,2,0.0
2011,D Public order and security offences,D40 Public security offences,D43 Hacking,44,0.8
2011,D Public order and security offences,D40 Public security offences,D41 Immigration offences,1,0.0
2010,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,0.0
2010,D Public order and security offences,D40 Public security offences,D43 Hacking,51,0.9
2009,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,0.0
2009,D Public order and security offences,D40 Public security offences,D44 Terrorism offences,1,0.0
2009,D Public order and security offences,D40 Public security offences,D43 Hacking,30,0.6
2009,D Public order and security offences,D40 Public security offences,D41 Immigration offences,1,0.0
2008,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,0.0
2008,D Public order and security offences,D40 Public security offences,D43 Hacking,14,0.3
2017,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,985,16.0
2017,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,621,10.1
2017,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,541,8.8
2017,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,"5,474",88.9
2017,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,96,1.6
2016,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,983,16.2
2016,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,540,8.9
2016,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,520,8.6
2016,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,"6,604",108.8
2016,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,1,0.0
2016,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,115,1.9
2015,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,781,13.1
2015,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,480,8.1
2015,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,546,9.2
2015,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,"1,796",30.2
2015,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,84,1.4
2014,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,725,12.4
2014,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,560,9.6
2014,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,517,8.9
2014,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,"1,129",19.3
2014,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,85,1.5
2013,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,890,15.5
2013,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,549,9.6
2013,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,551,9.6
2013,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,985,17.2
2013,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,1,0.0
2013,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,103,1.8
2012,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,884,15.7
2012,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,519,9.2
2012,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,578,10.3
2012,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,948,16.8
2012,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,3,0.1
2012,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,118,2.1
2011,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,476,8.6
2011,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,348,6.3
2011,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,530,9.6
2011,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,903,16.3
2011,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,1,0.0
2011,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,84,1.5
2010,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,196,3.6
2010,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,387,7.1
2010,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,528,9.7
2010,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,885,16.2
2010,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,4,0.1
2010,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,79,1.4
2009,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,127,2.4
2009,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,346,6.4
2009,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,543,10.1
2009,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,720,13.4
2009,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,2,0.0
2009,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,102,1.9
2008,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,96,1.8
2008,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,287,5.5
2008,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,480,9.1
2008,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,657,12.5
2008,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,2,0.0
2008,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,88,1.7
2017,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,882,14.3
2017,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"15,784",256.3
2017,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"2,144",34.8
2017,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"18,965",308.0
2016,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,880,14.5
2016,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"18,546",305.6
2016,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"1,692",27.9
2016,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"15,700",258.7
2015,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,945,15.9
2015,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"16,990",285.7
2015,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"1,453",24.4
2015,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"11,231",188.9
2014,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,780,13.4
2014,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"12,203",209.0
2014,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"1,163",19.9
2014,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"9,193",157.5
2013,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,697,12.2
2013,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"6,678",116.5
2013,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,877,15.3
2013,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"7,421",129.4
2012,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,701,12.4
2012,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"6,006",106.6
2012,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,605,10.7
2012,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"5,879",104.4
2011,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,560,10.1
2011,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"4,889",88.3
2011,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,248,4.5
2011,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"4,697",84.8
2010,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,548,10.0
2010,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"4,818",88.2
2010,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,113,2.1
2010,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"4,226",77.4
2009,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,572,10.6
2009,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"5,004",93.2
2009,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"1,159",21.6
2009,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"3,013",56.1
2008,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,435,8.3
2008,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"4,804",91.4
2008,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"3,399",64.7
2008,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,29,0.6
2017,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,4,0.1
2017,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,3,0.0
2017,F Other offences,F10 Regulatory driving offences,F12 Drug driving,1,0.0
2017,F Other offences,F10 Regulatory driving offences,F11 Drink driving,2,0.0
2016,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,2,0.0
2016,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,2,0.0
2016,F Other offences,F10 Regulatory driving offences,F11 Drink driving,4,0.1
2015,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,3,0.1
2015,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,1,0.0
2015,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,5,0.1
2015,F Other offences,F10 Regulatory driving offences,F14 Parking offences,2,0.0
2015,F Other offences,F10 Regulatory driving offences,F12 Drug driving,1,0.0
2015,F Other offences,F10 Regulatory driving offences,F11 Drink driving,10,0.2
2014,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,8,0.1
2014,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,1,0.0
2014,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,2,0.0
2014,F Other offences,F10 Regulatory driving offences,F11 Drink driving,11,0.2
2013,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,4,0.1
2013,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,2,0.0
2013,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,2,0.0
2013,F Other offences,F10 Regulatory driving offences,F12 Drug driving,1,0.0
2013,F Other offences,F10 Regulatory driving offences,F11 Drink driving,9,0.2
2012,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,4,0.1
2012,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,1,0.0
2012,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,4,0.1
2012,F Other offences,F10 Regulatory driving offences,F11 Drink driving,9,0.2
2011,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,6,0.1
2011,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,1,0.0
2011,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,1,0.0
2011,F Other offences,F10 Regulatory driving offences,F11 Drink driving,7,0.1
2010,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,5,0.1
2010,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,2,0.0
2010,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,2,0.0
2010,F Other offences,F10 Regulatory driving offences,F11 Drink driving,17,0.3
2009,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,4,0.1
2009,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,3,0.1
2009,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,10,0.2
2009,F Other offences,F10 Regulatory driving offences,F12 Drug driving,1,0.0
2009,F Other offences,F10 Regulatory driving offences,F11 Drink driving,20,0.4
2008,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,8,0.2
2008,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,6,0.1
2008,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,21,0.4
2008,F Other offences,F10 Regulatory driving offences,F14 Parking offences,1,0.0
2008,F Other offences,F10 Regulatory driving offences,F11 Drink driving,5,0.1
2017,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,70,1.1
2017,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,1,0.0
2017,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,55,0.9
2017,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,5,0.1
2017,F Other offences,F20 Transport regulation offences,F21 Public transport,245,4.0
2016,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,90,1.5
2016,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,8,0.1
